"F-Connector, Pin","R-Connector, Pin","Signal","Signal Description","Channel","Channel Name","Channel Description","Module","Layer","Unit Type","Slot"
"F1, 009","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 008","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 007","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 006","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 013","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 012","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 011","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 010","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 005","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 004","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 003","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 002","","HCHB_OUT","Driver output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"","R1, 007","HCHB_CTRL_A_IN","HCHB control A input","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"","R1, 008","HCHB_CTRL_B_IN","HCHB control B input","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"","R2, 001","HCHB_UDRV_M_OUT","Monitored driver voltage","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"","R2, 003","HCHB_U(I)_OUT","Current measurement output","1","PS-HCHBD 2/2 Ch01","High Current Half Bridge Driver, Ch01","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 021","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 020","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 019","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 018","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 025","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 024","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 023","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 022","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 017","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
"F1, 016","","HCHB_OUT","Driver output","2","PS-HCHBD 2/2 Ch02","High Current Half Bridge Driver, Ch02","PS-HCHBD 2/2","1","Power","1, 2, 3"
